Name,Class,RaceFaction,Length,Crew,MaxWarp,Armament,ShieldType,HullMaterial,Role
FMS-1274,9,Ferengi,1270,62,7.66,Photon Torpedoes,Regenerative Shields,Neutronium Alloy,9
VSS-1275,2,Vulcan,1103,203,8.8,Photon Torpedoes,Adaptive Shields,Composite Hull,2
IRW-1276,3,Romulan,235,1377,9.2,Pulse Cannons,Deflector Shields,Neutronium Alloy,3
Cube-1277,5,Borg,212,18593,9.94,Plasma Torpedoes,Ablative Shields,Neutronium Alloy,5
Cube-1278,1,Borg,240,19701,9.32,Photon Torpedoes,Deflector Shields,Duranium/Tritanium,1
JemHadar-1279,0,Dominion,1440,249,7.54,Plasma Torpedoes,Deflector Shields,Composite Hull,0
JemHadar-1280,2,Dominion,747,349,8.07,Disruptors,Ablative Shields,Adaptive Armor,2
JemHadar-1281,0,Dominion,185,52,9.43,Plasma Torpedoes,Ablative Shields,Neutronium Alloy,0
IKS-1282,2,Klingon,152,542,6.55,Phasers,Regenerative Shields,Adaptive Armor,2
Cube-1283,7,Borg,1437,9367,9.07,Polaron Beams,Ablative Shields,Composite Hull,7
JemHadar-1284,3,Dominion,111,163,7.84,Photon Torpedoes,Ablative Shields,Neutronium Alloy,3
IRW-1285,0,Romulan,198,352,7.79,Phasers,Deflector Shields,Composite Hull,0
CSS-1286,1,Cardassian,657,845,7.63,Disruptors,Deflector Shields,Composite Hull,1
IKS-1287,9,Klingon,1162,526,8.41,Photon Torpedoes,Regenerative Shields,Adaptive Armor,9
CSS-1288,3,Cardassian,1423,942,9.16,Phasers,Adaptive Shields,Adaptive Armor,3
Cube-1289,4,Borg,860,14681,9.87,Plasma Torpedoes,Deflector Shields,Neutronium Alloy,4
IRW-1290,9,Romulan,593,1024,8.96,Plasma Torpedoes,Regenerative Shields,Duranium/Tritanium,9
FMS-1291,5,Ferengi,1255,121,8.29,Photon Torpedoes,Ablative Shields,Adaptive Armor,5
Cube-1292,1,Borg,481,28143,9.61,Polaron Beams,Adaptive Shields,Duranium/Tritanium,1
FMS-1293,3,Ferengi,532,22,8.35,Polaron Beams,Ablative Shields,Neutronium Alloy,3
IKS-1294,4,Klingon,1192,476,7.17,Photon Torpedoes,Deflector Shields,Adaptive Armor,4
FMS-1295,1,Ferengi,1278,111,7.53,Plasma Torpedoes,Regenerative Shields,Adaptive Armor,1
IKS-1296,2,Klingon,479,561,9.21,Polaron Beams,Adaptive Shields,Neutronium Alloy,2
IRW-1297,8,Romulan,887,1365,8.04,Phasers,Adaptive Shields,Adaptive Armor,8
USS-1298,2,Federation,941,438,8.21,Polaron Beams,Regenerative Shields,Neutronium Alloy,2
CSS-1299,1,Cardassian,121,379,7.97,Photon Torpedoes,Adaptive Shields,Duranium/Tritanium,1
VSS-1300,7,Vulcan,419,97,7.14,Polaron Beams,Adaptive Shields,Composite Hull,7
USS-1301,2,Federation,104,1039,7.49,Photon Torpedoes,Adaptive Shields,Composite Hull,2
JemHadar-1302,5,Dominion,803,357,9.09,Photon Torpedoes,Regenerative Shields,Composite Hull,5
USS-1303,9,Federation,541,693,7.63,Pulse Cannons,Regenerative Shields,Composite Hull,9
VSS-1304,6,Vulcan,1186,267,7.3,Polaron Beams,Regenerative Shields,Neutronium Alloy,6
Cube-1305,5,Borg,310,9812,9.92,Plasma Torpedoes,Ablative Shields,Duranium/Tritanium,5
IKS-1306,4,Klingon,619,656,7.95,Disruptors,Ablative Shields,Adaptive Armor,4
IRW-1307,2,Romulan,146,867,9.33,Polaron Beams,Deflector Shields,Adaptive Armor,2
VSS-1308,1,Vulcan,257,252,8.73,Plasma Torpedoes,Ablative Shields,Neutronium Alloy,1
FMS-1309,6,Ferengi,742,51,7.48,Polaron Beams,Ablative Shields,Composite Hull,6
CSS-1310,3,Cardassian,367,916,8.55,Cutting Beam,Deflector Shields,Duranium/Tritanium,3
CSS-1311,7,Cardassian,1229,243,9.05,Photon Torpedoes,Adaptive Shields,Neutronium Alloy,7
USS-1312,7,Federation,701,1039,7.83,Polaron Beams,Deflector Shields,Composite Hull,7
FMS-1313,7,Ferengi,402,118,6.75,Cutting Beam,Regenerative Shields,Neutronium Alloy,7
IKS-1314,0,Klingon,1057,340,8.75,Pulse Cannons,Adaptive Shields,Composite Hull,0
Cube-1315,9,Borg,592,6989,9.53,Disruptors,Regenerative Shields,Adaptive Armor,9
USS-1316,4,Federation,206,747,8.7,Polaron Beams,Adaptive Shields,Composite Hull,4
JemHadar-1317,8,Dominion,988,326,8.11,Phasers,Ablative Shields,Duranium/Tritanium,8
IRW-1318,7,Romulan,321,455,7.72,Plasma Torpedoes,Ablative Shields,Neutronium Alloy,7
IRW-1319,4,Romulan,1373,389,7.79,Phasers,Regenerative Shields,Composite Hull,4
